time,IR
16.462, 98422
16.482, 98361
16.503, 98268
16.523, 98209
16.544, 98253
16.562, 98312
16.582, 98352
16.603, 98291
16.623, 98195
16.642, 98145
16.662, 98145
16.683, 98172
16.703, 98091
16.723, 97930
16.743, 97796
16.764, 97738
16.784, 97808
16.805, 97761
16.823, 97726
16.844, 97784
16.864, 97853
16.885, 97796
16.903, 97696
16.923, 97642
16.944, 97796
16.964, 97969
16.985, 97944
17.003, 97866
17.024, 97935
17.044, 98017
17.065, 98109
17.084, 98098
17.105, 98012
17.125, 97944
17.146, 97912
17.166, 98018
17.185, 98120
17.205, 98094
17.225, 98004
17.246, 97900
17.264, 97816
17.285, 97787
17.305, 97926
17.326, 98008
17.346, 97903
17.365, 97831
17.385, 97741
17.406, 97706
17.426, 97654
17.446, 97617
17.466, 97602
17.487, 97459
17.507, 97350
17.528, 97257
17.546, 97317
17.566, 97459
17.587, 97544
17.607, 97574
17.626, 97547
17.646, 97589
17.667, 97600
17.687, 97669
17.708, 97726
17.726, 97776
17.747, 97879
17.767, 97980
17.788, 97912
17.807, 97894
17.828, 97942
17.848, 97949
17.869, 97907
17.887, 97872
17.907, 97754
17.928, 97795
17.948, 97926
17.969, 98021
17.987, 98031
18.008, 98025
18.028, 97990
18.049, 98045
18.067, 98158
18.088, 98054
18.108, 98010
18.129, 98060
18.149, 98049
18.169, 98043
18.189, 97936
18.210, 97797
18.230, 97738
18.248, 97677
18.269, 97719
18.289, 97811
18.310, 97898
18.330, 97925
18.349, 97911
18.369, 98014
18.390, 98004
18.410, 98003
18.429, 97936
18.449, 97918
18.470, 97935
18.490, 97922
18.511, 97988
18.530, 98102
18.551, 98196
18.571, 98153
18.592, 98033
18.610, 98053
18.630, 97984
18.651, 97964
18.671, 97862
18.690, 97740
18.710, 97713
18.731, 97702
18.751, 97712
18.772, 97677
18.790, 97725
18.811, 97796
18.831, 97747
18.852, 97690
18.871, 97581
18.892, 97510
18.912, 97577
18.933, 97623
18.953, 97642
18.971, 97555
18.992, 97465
19.012, 97439
19.033, 97479
19.051, 97568
19.072, 97630
19.092, 97619
19.113, 97629
19.133, 97651
19.152, 97753
19.172, 97859
19.193, 97900
19.213, 97903
19.233, 97913
19.253, 97969
19.273, 97944
19.294, 97958
19.312, 98001
19.333, 98164
19.353, 98218
19.374, 98242
19.394, 98286
19.413, 98325
19.433, 98391
19.454, 98349
19.474, 98327
19.493, 98281
19.513, 98226
19.534, 98238
19.554, 98320
19.575, 98351
19.594, 98364
19.614, 98313
19.635, 98280
19.655, 98213
19.674, 98102
19.694, 98047
19.715, 98115
19.735, 98221
19.754, 98258
19.774, 98226
19.795, 98356
19.815, 98316
19.836, 98334
19.854, 98450
19.876, 98507
19.896, 98548
19.917, 98558
19.935, 98674
19.955, 98820
19.976, 99006
19.996, 99228
20.017, 99416
20.035, 99518
20.056, 99505
20.076, 99604
20.097, 99642
20.115, 99583
20.136, 99456
20.156, 99474
20.177, 99547
20.197, 99534
20.217, 99468
20.237, 99388
20.258, 99256
20.278, 99319
20.296, 99380
20.317, 99375
20.337, 99449
20.358, 99378
20.376, 99358
20.397, 99290
20.417, 99292
20.438, 99212
20.458, 99283
20.477, 99359
20.497, 99421
20.518, 99362
20.538, 99255
20.557, 99115
20.578, 99164
